2022-09-07 14:55:00.181 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.UserServiceTest], using SpringBootContextLoader
2022-09-07 14:55:09.877 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2d5e051e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f29e630, org.springframework.security.web.context.SecurityContextPersistenceFilter@4ba1f425, org.springframework.security.web.header.HeaderWriterFilter@6e225c34, org.springframework.security.web.authentication.logout.LogoutFilter@4891d727, org.springframework.web.filter.CorsFilter@7e94e331, com.weiho.scaffold.system.security.token.filter.TokenFilter@30811f91, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@46290193, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5da2966, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3bf40c74, org.springframework.security.web.session.SessionManagementFilter@4f55a864, org.springframework.security.web.access.ExceptionTranslationFilter@3fb1948c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@54087bdb]
2022-09-07 14:55:10.147 [main] INFO  com.weiho.scaffold.redis.config.RedisConfig - Redis -> [Redis缓存错误处理程序初始化]
2022-09-07 14:55:10.885 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2022-09-07 14:55:10.912 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-07 14:55:10.912 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-07 14:55:10.913 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-09-07 14:55:10.915 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 20938 (http) with context path ''
2022-09-07 14:55:11.290 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.137.128:5672]
2022-09-07 14:55:11.372 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#3d9c8c3c:0/SimpleConnection@52b6561b [delegate=amqp://admin@192.168.137.128:5672/, localPort= 20941]
2022-09-07 14:55:11.445 [main] INFO  com.weiho.scaffold.system.service.UserServiceTest - Started UserServiceTest in 10.861 seconds (JVM running for 12.292)
2022-09-07 14:55:11.850 [main] DEBUG c.w.scaffold.system.mapper.UserMapper.selectList - ==>  Preparing: SELECT id,avatar_id,username,password,sex,email,phone,enabled,last_pass_reset_time,create_time,update_time,is_del FROM user WHERE is_del=0
2022-09-07 14:55:11.873 [main] DEBUG c.w.scaffold.system.mapper.UserMapper.selectList - ==> Parameters: 
2022-09-07 14:55:11.925 [main] DEBUG c.w.scaffold.system.mapper.UserMapper.selectList - <==      Total: 4
2022-09-07 14:55:11.949 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-09-07 14:55:12.436 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-09-07 14:55:12.630 [SpringApplicationShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is already stopped
2022-09-07 14:55:12.631 [SpringApplicationShutdownHook] INFO  c.w.s.common.util.spring.SpringContextHolder - SpringContextHolder -> [清除SpringContextHolder中的ApplicationContext:org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2755d705, started on Wed Sep 07 14:55:01 GMT+08:00 2022]
2022-09-07 14:55:12.671 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-09-07 14:55:12.678 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-09-07 14:56:36.544 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.UserServiceTest], using SpringBootContextLoader
